user_id,age,gender,country,state,acquisition_source,tenure_days,recency_days,frequency_orders,frequency_orders_non_cancelled,monetary_gross,monetary_net,avg_order_value,avg_item_price,avg_basket_size,avg_price_tier,return_rate,cancellation_rate,avg_days_to_ship,avg_days_to_deliver,category_diversity,top_category,top_brand,top_department,first_order_date,last_order_date,is_non_purchaser,total_sessions,product_view_sessions,avg_funnel_depth,avg_events_per_session,avg_session_duration_sec,bounce_session_rate,dominant_traffic_source,dominant_browser,distinct_traffic_sources,first_session_date,last_session_date,days_browse_to_first_purchase,channel_consistency_flag,has_transaction_data,has_session_data,avg_session_duration_capped,log_session_duration,log_monetary_net,log_avg_item_price,discount_reliance_pct,avg_discount_depth,max_discount_depth,full_price_spend_share,discounted_spend,cart_abandonment_rate,cart_sessions,abandoned_cart_sessions,converting_sessions,session_conversion_rate,browse_to_cart_rate,simulated_price_change_pct,prob_churn_on_price_increase,price_elasticity,expected_spend_retention,expected_revenue_after_change,revenue_delta
96200,53,M,Brasil,Espírito Santo,Facebook,1391,261,1,1,21.5,21.5,21.5,21.5,1.0,21.5,0.0,0.0,0.0,0.0,1,Underwear,Intymen,Men,2025-11-18,2025-11-18,0,1,1,5,5.0,216.0,0,Email,Chrome,1,2025-11-18,2025-11-18,0,0,1,1,216.0,5.3799,3.1135,3.1135,0.423,0.1851,0.2856,0.577,9.09,0.5246,1,1,0,0.0,0.494,0.1,0.2839,-1.8302,0.585,13.84,-7.66
18839,21,F,United States,Michigan,Facebook,2235,250,2,2,426.8800010681152,426.8800010681152,213.4400005340576,85.37600021362304,2.5,85.37600021362304,0.0,0.0,1.4,4.75,5,Plus,HUE,Women,2022-01-20,2025-11-29,0,5,5,5,11.4,87241.0,0,Email,Chrome,3,2022-01-20,2025-11-29,0,0,1,1,3600.0,8.189,6.0588,4.4587,0.3159,0.0716,0.0716,0.6841,134.85,0.5253,4,3,1,0.2,0.663,0.1,0.1775,-0.4592,0.7848,368.52,-58.36
49584,56,M,United Kingdom,England,Search,2107,208,3,2,309.39000701904297,161.4000015258789,103.13000233968098,77.34750175476074,1.3333333333333333,77.34750175476074,0.0,0.25,1.0,,4,Outerwear & Coats,Tru-Spec,Men,2022-10-16,2026-01-10,0,4,4,5,6.0,65327.99999999999,0,Adwords,Safari,3,2022-10-16,2026-01-10,0,0,1,1,3600.0,8.189,5.0901,4.3612,0.392,0.2733,0.325,0.608,63.27,0.3881,2,0,2,0.5,0.4388,0.1,0.52,-1.697,0.3985,70.75,-90.65
74371,53,M,China,Guangdong,Organic,462,419,1,1,14.0,14.0,14.0,14.0,1.0,14.0,0.0,0.0,2.0,,1,Underwear,2(x)ist,Men,2025-06-13,2025-06-13,0,1,1,5,5.0,372.0,0,Email,Safari,1,2025-06-13,2025-06-13,0,0,1,1,372.0,5.9216,2.7081,2.7081,0.3594,0.4582,0.4582,0.6406,5.03,0.6528,1,0,1,1.0,0.762,0.1,0.2936,-1.8995,0.5722,8.81,-5.19
85868,57,F,United States,Georgia,Organic,1594,107,2,2,133.93999862670898,133.93999862670898,66.96999931335449,66.96999931335449,1.0,66.96999931335449,0.0,0.0,3.0,6.5,2,Tops & Tees,Tri-Mountain,Women,2023-11-06,2026-04-21,0,2,2,5,5.0,328.0,0,Email,Chrome,1,2023-11-06,2026-04-20,0,0,1,1,328.0,5.7961,4.9048,4.2191,0.3797,0.0799,0.0924,0.6203,50.86,0.5299,2,0,2,1.0,0.5466,0.1,0.01,-0.9318,0.8978,132.28,-1.66
3265,42,M,United States,California,Search,1815,595,2,2,222.44999694824216,222.44999694824216,111.22499847412108,74.14999898274739,1.5,74.14999898274739,0.0,0.0,0.3333333333333332,,3,Jeans,Bullhead,Men,2023-05-19,2024-12-19,0,3,3,5,6.333333333333333,115677.0,0,Email,Chrome,2,2023-05-18,2024-12-19,1,0,1,1,3600.0,8.189,5.4092,4.3195,0.1203,0.0995,0.1213,0.8797,26.76,0.5244,2,2,0,0.0,0.5766,0.1,0.2476,0.0748,0.758,185.48,-36.97
73280,51,F,United States,Nevada,Search,521,288,1,1,179.73999786376953,179.73999786376953,179.73999786376953,89.86999893188477,2.0,89.86999893188477,0.0,0.0,-1.0,,2,Intimates,Betsey Johnson,Women,2025-10-22,2025-10-22,0,2,2,5,7.0,259713.5,0,Email,Chrome,1,2025-10-22,2025-10-22,0,0,1,1,3600.0,8.189,5.1971,4.5094,0.437,0.2642,0.3009,0.563,78.55,0.5836,1,1,0,0.0,0.6463,0.1,0.3243,-1.0553,0.6044,119.5,-60.24
66729,51,F,China,Xinjiang Uygur Autonomous Region,Search,2604,347,2,2,96.12000274658205,96.12000274658205,48.060001373291016,48.060001373291016,1.0,48.060001373291016,0.0,0.0,2.0,2.0,2,Jeans,Calvin Klein Jeans,Women,2023-08-07,2025-08-24,0,2,2,5,5.0,334.5,0,YouTube,Chrome,2,2023-08-07,2025-08-24,0,0,1,1,334.5,5.8156,4.5759,3.893,0.3241,0.2394,0.2394,0.6759,31.15,0.3816,2,0,2,1.0,0.4,0.1,0.0441,-0.7119,0.8879,93.88,-2.24
59003,56,F,China,Liaoning,Search,1101,183,2,2,256.60000514984125,256.60000514984125,128.30000257492063,51.32000102996826,2.5,51.32000102996826,0.0,0.0,-1.4,,5,Jumpsuits & Rompers,Rocawear,Women,2025-04-20,2026-02-04,0,5,5,5,8.8,173455.4,0,Email,Chrome,3,2025-04-20,2026-02-04,0,0,1,1,3600.0,8.189,5.5514,3.9574,0.5397,0.2253,0.3328,0.4603,138.49,0.4976,4,2,2,0.4,0.7566,0.1,0.1942,-0.9115,0.7324,206.73,-49.87
15006,20,M,United Kingdom,England,Facebook,223,72,1,0,21.96999931335449,0.0,21.96999931335449,21.96999931335449,1.0,21.96999931335449,0.0,1.0,,,1,Swim,Gary Majdell Sport,Men,2026-05-26,2026-05-26,0,1,1,5,5.0,412.0,0,Email,Other,1,2026-05-26,2026-05-26,0,0,1,1,412.0,6.0234,0.0,3.1342,0.2641,0.2135,0.2773,0.7359,0.0,0.6386,1,1,0,0.0,0.5099,0.1,0.4357,-1.4271,0.4837,0.0,0.0
54935,43,F,China,Guangdong,Search,161,130,1,1,47.98999977111816,47.98999977111816,47.98999977111816,23.99499988555908,2.0,23.99499988555908,0.0,0.0,,,2,Intimates,Underworks,Women,2026-03-29,2026-03-29,0,2,2,5,7.0,130068.0,0,Email,Safari,2,2026-03-29,2026-03-29,0,0,1,1,3600.0,8.189,3.8916,3.2187,0.4846,0.2717,0.2717,0.5154,23.26,0.5616,2,1,1,0.5,0.6714,0.1,0.1514,-1.0591,0.7587,40.05,-7.94
80751,64,F,Brasil,São Paulo,Search,191,153,2,1,107.98999786376952,0.0,53.994998931884766,53.994998931884766,1.0,53.994998931884766,0.5,0.5,1.0,4.0,2,Sweaters,YogaColors,Women,2026-03-05,2026-03-06,0,2,2,5,5.0,288.5,0,Email,Chrome,1,2026-03-05,2026-03-06,0,0,1,1,288.5,5.6682,0.0,4.0072,0.7126,0.3824,0.6152,0.2874,0.0,0.5351,1,1,0,0.0,0.5674,0.1,0.6729,-2.6546,0.2403,0.0,0.0
