cid,rev_ttl,rcy,freq,sess_cnt,cat_cnt,basket_avg
0,61.91,323,4,12,6,2.2
1,47.84,517,1,2,3,4.1
2,103.59,42,3,9,6,3.7
3,60.64,382,2,1,7,3.6
4,31.96,152,2,1,7,1.1
5,78.38,227,4,8,1,4.3
6,201.14,124,2,14,2,3.5
7,140.76,741,2,4,7,3.4
8,27.01,801,2,10,7,4.3
9,15.4,579,4,9,1,1.8
10,29.27,452,3,10,1,3.4
11,56.9,191,4,5,6,4.9
12,5.34,507,5,9,4,4.3
13,43.87,117,3,7,6,4.7
14,15.71,413,4,6,7,3.1
15,26.25,112,5,2,6,1.3
16,31.68,133,2,4,3,3.7
17,39.79,818,2,6,2,4.3
18,82.4,412,3,2,6,2.1
19,154.86,363,4,8,6,2.8
20,48.01,390,3,7,3,2.1
21,214.1,738,3,8,4,1.7
22,28.07,433,1,4,1,4.4
23,77.6,805,1,2,1,3.7
24,134.76,252,3,2,3,3.1
25,59.98,203,2,13,1,4.3
26,25.96,186,1,2,5,2.0
27,21.72,29,3,10,2,3.7
28,34.55,2,1,13,7,4.8
29,68.05,162,5,3,6,4.2
30,19.89,286,4,13,3,3.8
31,44.29,695,4,2,3,4.4
32,46.56,331,4,2,7,2.3
33,93.77,13,3,3,2,2.4
34,67.67,361,2,3,7,1.0
35,77.9,507,1,6,4,3.8
36,28.39,11,2,2,1,4.4
37,47.96,172,2,4,3,2.7
38,119.58,856,4,6,2,4.5
39,243.09,689,1,4,3,4.3
40,15.5,595,5,2,6,4.1
41,248.12,431,3,9,2,2.5
42,209.74,201,2,9,3,4.2
43,119.26,494,3,2,3,3.5
44,71.13,686,4,3,7,4.8
45,39.89,264,4,3,2,1.6
46,234.63,396,4,8,2,4.2
47,387.71,410,3,13,5,2.8
48,330.84,600,1,6,2,2.0
49,203.39,41,3,2,3,1.1
50,78.05,571,4,1,2,4.7
51,16.31,728,2,4,1,1.2
52,54.36,50,2,8,5,4.5
53,105.26,816,1,13,2,2.5
54,15.05,545,1,1,2,4.6
55,81.05,677,5,11,4,2.3
56,83.92,299,4,8,4,3.7
57,109.51,446,1,7,2,2.5
58,16.71,664,5,5,2,2.3
59,28.17,759,1,14,7,3.6
60,35.29,539,3,6,7,4.1
61,16.95,3,2,5,1,1.6
62,310.87,488,4,7,1,1.3
63,33.25,599,1,9,5,2.0
64,75.87,253,2,4,7,1.6
65,42.16,690,4,3,7,2.0
66,265.99,697,5,13,7,4.7
67,204.46,293,1,7,7,4.6
68,102.86,255,5,7,5,3.5
69,6.03,770,2,4,4,4.6
70,57.51,620,1,14,1,2.2
71,108.17,0,1,11,3,1.4
72,149.0,242,4,14,2,2.5
73,29.43,568,5,3,1,4.5
74,337.65,561,2,1,2,1.1
75,14.58,270,2,13,4,4.5
76,28.18,812,1,12,3,2.8
77,139.08,565,5,13,5,4.0
78,57.34,301,3,4,3,3.1
79,404.4,226,5,11,3,1.4
80,65.93,344,5,1,7,3.9
81,28.99,188,4,13,2,1.5
82,37.43,342,4,14,2,4.8
83,18.34,563,2,5,4,3.0
84,15.22,711,5,6,7,3.6
85,102.56,447,3,1,2,1.1
86,97.63,413,2,8,3,1.5
87,199.25,168,4,13,4,4.3
88,25.67,457,1,7,1,1.2
89,295.63,797,4,9,4,1.2
90,40.96,596,5,13,3,1.3
91,263.59,794,5,1,7,1.7
92,35.42,464,4,6,5,4.0
93,26.17,494,3,11,2,3.7
94,70.09,96,1,10,4,4.2
95,153.16,635,4,5,5,4.0
96,64.14,812,2,8,7,1.3
97,30.4,406,2,14,2,2.0
98,14.28,512,5,13,2,4.7
99,13.44,721,1,14,3,3.1
100,90.26,308,5,1,1,3.8
101,146.89,750,4,9,6,4.9
102,46.33,310,3,14,7,4.7
103,18.65,687,1,13,4,4.7
104,130.72,696,5,9,5,2.6
105,15.17,218,4,5,3,3.1
106,26.76,611,1,1,7,1.3
107,101.6,22,1,4,7,1.2
108,5.75,677,2,11,4,3.1
109,80.35,592,4,11,7,1.9
110,30.52,31,2,4,1,2.4
111,60.9,370,3,8,3,2.0
112,50.62,771,4,11,3,2.9
113,66.83,804,1,1,1,4.7
114,109.31,323,5,4,6,1.9
115,25.58,773,3,5,3,1.3
116,226.1,792,1,13,1,4.8
117,112.85,480,4,1,2,3.5
118,126.94,118,3,2,6,2.5
119,175.01,339,3,5,6,3.0
120,120.01,598,5,14,4,1.4
121,126.99,641,4,7,5,2.2
122,58.89,899,4,3,5,1.2
123,13.11,638,4,6,4,1.6
124,47.7,583,4,9,6,2.9
125,25.29,614,2,8,1,1.3
126,13.16,679,5,3,6,2.3
127,70.7,758,5,1,7,3.4
128,30.92,899,4,10,4,4.4
129,19.5,519,2,14,1,1.9
130,19.24,204,1,11,6,2.5
131,71.41,464,3,3,4,2.1
132,78.15,792,5,1,1,2.1
133,204.89,465,1,2,4,4.8
134,53.84,872,4,11,1,2.7
135,154.75,800,5,9,2,4.2
136,221.91,758,1,8,5,1.6
137,172.46,330,4,10,7,2.8
138,5.13,782,3,8,7,2.9
139,186.55,757,3,5,3,3.5
140,76.68,389,5,1,3,3.7
141,83.41,454,3,13,4,2.6
142,79.14,566,1,9,6,1.8
143,80.06,76,1,3,1,4.8
144,75.14,0,2,10,3,2.5
145,38.13,404,2,3,1,1.5
146,8.15,541,4,14,5,3.2
147,48.96,262,5,12,6,1.8
148,24.44,790,3,2,5,4.2
149,160.8,475,1,7,1,3.8
150,40.9,18,4,2,4,3.4
151,59.35,767,1,8,1,1.1
152,23.35,448,4,12,5,2.7
153,32.77,161,3,11,5,3.2
154,53.97,529,2,6,3,4.1
155,12.36,427,4,7,2,2.4
156,73.75,44,1,9,1,4.7
157,49.1,524,5,13,6,2.8
158,16.68,623,1,1,2,1.3
159,4.96,692,5,4,1,2.7
160,91.2,209,3,2,6,4.4
161,40.55,846,4,7,1,1.8
162,32.14,742,2,1,4,2.3
163,43.11,495,2,3,3,4.9
164,335.79,376,5,7,4,1.3
165,51.95,829,3,4,7,2.4
166,59.54,404,2,7,6,2.8
167,12.34,302,5,9,1,2.9
168,283.54,445,3,11,4,3.2
169,136.66,687,1,9,1,3.7
170,158.69,537,5,12,1,2.6
171,57.26,687,1,6,4,1.1
172,136.55,346,3,9,3,2.4
173,79.12,496,3,1,4,1.1
174,100.81,313,3,13,4,3.0
175,46.89,156,2,7,4,4.5
176,12.5,392,2,2,2,1.3
177,152.76,347,1,4,2,2.6
178,7.89,787,5,1,1,4.7
179,42.95,261,3,14,5,4.3
180,44.5,850,5,10,6,4.0
181,19.24,870,2,9,6,3.8
182,100.8,140,5,7,5,1.0
183,44.69,580,5,13,4,2.7
184,35.27,647,3,6,2,4.6
185,91.82,818,2,10,7,3.9
186,33.9,873,1,10,3,2.4
187,218.98,266,4,2,6,3.2
188,77.59,513,3,4,3,3.5
189,33.98,386,3,7,1,4.5
190,7.81,477,2,8,1,3.2
191,14.76,510,2,14,7,4.4
192,161.88,567,3,13,7,3.9
193,51.9,319,3,8,3,5.0
194,41.14,236,4,5,6,2.4
195,282.38,410,2,2,5,3.1
196,15.14,846,4,9,2,3.5
197,30.4,539,2,11,2,1.1
198,34.04,694,2,9,6,3.2
199,98.13,25,1,11,4,2.9
200,28.12,89,4,13,4,2.1
201,29.56,305,1,11,2,3.5
202,10.97,4,1,12,6,3.9
203,113.22,0,2,10,5,3.7
204,122.26,528,4,12,3,4.6
205,33.91,434,1,12,3,2.9
206,64.29,420,5,9,4,3.8
207,14.99,547,1,7,7,1.7
208,34.06,739,5,9,1,3.6
209,216.58,83,1,5,1,1.5
210,62.54,680,2,1,1,4.2
211,550.24,217,2,13,4,4.2
212,24.85,629,5,8,5,1.6
213,97.54,723,2,2,2,4.7
214,44.9,887,4,3,5,3.0
215,96.14,756,1,14,3,4.7
216,54.21,596,2,12,7,4.5
217,31.15,348,1,3,7,2.4
218,22.93,271,2,6,5,3.9
219,1171.5,732,5,5,4,4.5
